Ion;Coordination number;Crystal radius;Effective ionic radius
K+;8;1.65;1.51
K+;9;1.69;1.55
K+;10;1.73;1.59
K+;12;1.78;1.64
La+3;6;1.172;1.032
La+3;7;1.24;1.10
La+3;8;1.300;1.160
La+3;9;1.356;1.216
La+3;10;1.41;1.27
La+3;12;1.50;1.36
Li+;4;0.730;0.590
Li+;6;0.90;0.76
Li+;8;1.06;0.92
Lu+3;6;1.001;0.861
Lu+3;8;1.117;0.977
Lu+3;9;1.172;1.032
Mg+2;4;0.71;0.57
Mg+2;5;0.80;0.66
Mg+2;6;0.860;0.720
Mg+2;8;1.03;0.89
Mn+2;4hs;0.80;0.66
Mn+2;5hs;0.89;0.75
Mn+2;6ls;0.81;0.67
Mn+2;6hs;0.970;0.830
Mn+2;7hs;1.04;0.90
Mn+2;8;1.10;0.96
Mn+3;5;0.72;0.58
Mn+3;6ls;0.72;0.58
Mn+3;6hs;0.785;0.645
Mn+4;4;0.53;0.39
Mn+4;6;0.670;0.530
Mn+5;4;0.47;0.33
Mn+6;4;0.395;0.255
Mn+7;4;0.39;0.25
Mn+7;6;0.60;0.46
Mo+3;6;0.83;0.69
Mo+4;6;0.790;0.650
Mo+5;4;0.60;0.46
Mo+5;6;0.75;0.61
Mo+6;4;0.55;0.41
Mo+6;5;0.64;0.50
Mo+6;6;0.73;0.59
Mo+6;7;0.87;0.73
N-3;4;1.32;1.46
N+3;6;0.30;0.16
N+5;3;0.044;-0.104
N+5;6;0.27;0.13
Na+;4;1.13;0.99
Na+;5;1.14;1.00
Na+;6;1.16;1.02
Na+;7;1.26;1.12
Na+;8;1.32;1.18
Na+;9;1.38;1.24
Na+;12;1.53;1.39
Nb+3;6;0.86;0.72
Nb+4;6;0.82;0.68
Nb+4;8;0.93;0.79
Nb+5;4;0.62;0.48
Nb+5;6;0.78;0.64
Nb+5;7;0.83;0.69
Nb+5;8;0.88;0.74
Nd+2;8;1.43;1.29
Nd+2;9;1.49;1.35
Nd+3;6;1.123;0.983
Nd+3;8;1.249;1.109
Nd+3;9;1.303;1.163
Nd+3;12;1.41;1.27
Ni+2;4;0.69;0.55
Ni+2;4q;0.63;0.49
Ni+2;5;0.77;0.63
Ni+2;6;0.830;0.690
Ni+3;6ls;0.70;0.56
Ni+3;6hs;0.74;0.60
Ni+4;6ls;0.62;0.48
No+2;6;1.24;1.1
Np+2;6;1.24;1.10
Np+3;6;1.15;1.01
Np+4;6;1.01;0.87
Np+4;8;1.12;0.98
Np+5;6;0.89;0.75
Np+6;6;0.86;0.72
Np+7;6;0.85;0.71
O-2;2;1.21;1.35
O-2;3;1.22;1.36
O-2;4;1.24;1.38
O-2;6;1.26;1.40
O-2;8;1.28;1.42
OH-;2;1.18;1.32
OH-;3;1.20;1.34
OH-;4;1.21;1.35
OH-;6;1.23;1.37
Os+4;6;0.770;0.630
Os+5;6;0.715;0.575
Os+6;5;0.63;0.49
Os+6;6;0.685;0.545
Os+7;6;0.665;0.525
Os+8;4;0.53;0.39
P+3;6;0.58;0.44
P+5;4;0.31;0.17
P+5;5;0.43;0.29
P+5;6;0.52;0.38
Pa+3;6;1.18;1.04
Pa+4;6;1.04;0.90
Pa+4;8;1.15;1.01
Pa+5;6;0.92;0.78
Pa+5;8;1.05;0.91
Pa+5;9;1.09;0.95
Pb+2;4p;1.12;0.98
Pb+2;6;1.33;1.19
Pb+2;7;1.37;1.23
Pb+2;8;1.43;1.29
Pb+2;9;1.49;1.35
Pb+2;10;1.54;1.40
Pb+2;11;1.59;1.45
Pb+2;12;1.63;1.49
Pb+4;4;0.79;0.65
Pb+4;5;0.87;0.73
Pb+4;6;0.915;0.775
Pb+4;8;1.08;0.94
Pd+;2;0.73;0.59
Pd+2;4q;0.78;0.64
Pd+2;6;1.00;0.86
Pd+3;6;0.900;0.76
Pd+4;6;0.755;0.615
Pm+3;6;1.11;0.97
Pm+3;8;1.233;1.093
Pm+3;9;1.284;1.144
! Po-2;6;2.16
Po+4;6;1.08;0.94
Po+4;8;1.22;1.08
Po+6;6;0.81;0.67
Pr+3;6;113;0.99
Pr+3;8;1.266;1.126
Pr+3;9;1.319;1.179
Pr+4;6;0.99;0.85
Pr+4;8;1.10;0.96
Pt+2;4q;0.74;0.60
Pt+2;6;0.94;0.80
Pt+4;6;0.765;0.625
Pt+5;6;0.71;0.57
Pu+3;6;1.14;1.00
Pu+4;6;1.00;0.86
Pu+4;8;1.10;0.96
Pu+5;6;0.88;0.74
Pu+6;6;0.85;0.71
Ra+2;8;1.62;1.48
Ra+2;12;1.84;1.70
Rb+;6;1.66;1.52
Rb+;7;1.70;1.56
Rb+;8;1.75;1.61
Rb+;9;1.77;1.63
Rb+;10;1.80;1.66
Rb+;11;1.83;1.69
Rb+;12;1.86;1.72
Rb+;14;1.97;1.83
Re+4;6;0.77;0.63
Re+5;6;0.72;0.58
Re+6;6;0.69;0.55
Re+7;4;0.52;0.38
Re+7;6;0.67;0.53
Rh+3;6;0.805;0.665
Rh+4;6;0.74;0.60
Rh+5;6;0.69;0.55
Ru+3;6;0.82;0.68
Ru+4;6;0.760;0.620
Ru+5;6;0.705;0.565
Ru+7;4;0.52;0.38
Ru+8;4;0.50;0.36
S-2;6;1.70;1.84
S+4;6;0.51;0.37
S+6;4;0.26;0.12
S+6;6;0.43;0.29
Sb+3;4p;0.90;0.76
Sb+3;5;0.94;0.80
Sb+3;6;0.90;0.76
Sb+5;6;0.74;0.80
Sc+3;6;0.885;0.745
Sc+3;8;1.010;0.870
Se-2;6;1.84;1.98
Se+4;6;0.64;0.50
Se+6;4;0.42;0.28
Se+6;6;0.56;0.42
Si+4;4;0.40;0.26
Si+4;6;0.540;0.400
Sm+2;7;1.36;1.22
Sm+2;8;1.41;1.27
Sm+2;9;1.46;1.32
Sm+3;6;1.098;0.958
Sm+3;7;1.16;1.02
Sm+3;8;1.219;1.079
Sm+3;9;1.272;1.132
Sm+3;12;1.38;1.24
Sn+4;4;0.69;0.55
Sn+4;5;0.76;0.62
Sn+4;6;0.830;0.690
Sn+4;7;0.89;0.75
Sn+4;8;0.95;0.81
Sr+2;6;1.32;1.18
Sr+2;7;1.35;1.21
Sr+2;8;1.40;1.26
Sr+2;9;1.45;1.31
