Series;Solvent;pH;Mechanism;Ox-Red;Equation;Delta(pi)R;Rho(pi)R;EH(SCE);Remark
p-Benzoquinone-X;AN+Et4NClO4;X; ;R;69;X;0.53;-0.5;1st wave
p-Benzoquinone-X;AN+Et4NClO4;X; ;R;69;X;0.46;-1.15;2nd wave
1.4-Naphtoquinone-2-X;75% EtOH+0.1M AcOH+0.1M AcONa;X; ;R;69;X;0.32;-0.27;
1.4-Naphtoquinone-2-X;75% EtOH+0.1M NH3+0.1M NH4Cl;X; ;R;69;X;0.29;-0.13;
