Lewis base;En;H
NO3-;0.29;0.32
SO4-2;0.59;3.71
ClCH2CO2-;0.79;5.0
CH3CO2-;0.96;6.50
C5H5N;1.20;6.96
C6H5O-;1.46;11.72
N3-;1.58;6.4
NO2-;1.73;4.89
C6H5NH2;1.78;6.33
S2O3-2;2.52;3.32
SO3-2;2.57;8.96
CS(NH2)2;2.18;3.77
F-;-0.27;4.93
Cl-;1.24;-5.3
Br-;1.51;-7.3
I-;2.06;-8.3
SCN-;1.83;0.42
NH3;1.84;10.98
