Element;A;I1;I2;I3;I4;I5;I6;I7;I8
Ac;0;5.1;12.06;18.90;0;0;0;0;0
Th;0;6.1;11.5;20.0;28.8;0;0;0;0
Pa;0;5.9;11.3;20.5;36.4;0;0;0;0
U;0;6.19;11.6;20.5;36.9;0;0;0;0
Np;0;5.90;11.67;22;38;0;0;0;0
Pu;0;6.06;13.0;23.5;39.5;0;0;0;0
Am;0;5.99;10.9;23.9;41.0;0;0;0;0
Cm;0;6.09;11.9;21.0;0;0;0;0;0
Bk;0;6.68;12.4;20.8;0;0;0;0;0
Cf;0;6.68;12.6;22.1;0;0;0;0;0
Es;0;6.80;12.6;21.6;0;0;0;0;0
Fm;0;6.68;12.51;22.5;0;0;0;0;0
Md;0;6.4;12;0;0;0;0;0;0
No;0;5.8;0;0;0;0;0;0;0
