Lewis acid;alpha;beta
Ag+;3.60;-0.09
Pd+2;5.33;-0.12
Hg+2;5.83;-0.07
Tl+;1.24;0.03
CH3Hg+;4.21;0.11
Cu+;3.92;0.18
Cd+2;1.66;0.07
Ni+2;1.41;0.09
In+3;1.57;0.15
Co+2;1.39;0.12
Zn+2;1.25;0.13
Cu+2;1.64;0.21
Bi+3;0.89;0.13
Pb+2;1.21;0.22
Fe+2;1.13;0.21
Mn+2;1.04;0.23
Fe+3;1.62;0.47
Sn+2;1.35;0.50
VO+2;1.37;0.57
Cr+3;1.29;0.68
UO2+2;0.95;0.58
Ce+3;0.79;0.48
Ga+3;1.01;0.73
Zr+4;1.45;1.10
Hf+4;1.19;0.93
U+4;0.67;1.01
Be+2;0;0
Mg+2;0;0
Ca+2;0;0
Sr+2;0;0
Ba+2;0;0
Li+;0;0
Na+;0;0
K+;0;0
Rb+;0;0
Cs+;0;0
